timestamp,roll,pitch,yaw,x,y,z
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.050000,0.000696,-0.000005,-0.000150,-0.000071,-0.000094,0.000028
0.100000,0.000759,0.000491,-0.000012,-0.000300,-0.000370,0.000119
0.150000,0.000348,0.001038,0.000583,-0.000711,-0.000825,0.000272
0.200000,0.000348,0.001038,0.000583,-0.000711,-0.000825,0.000272
0.250000,0.000079,0.000902,0.000266,-0.001322,-0.001443,0.000496
0.300000,0.000635,0.001675,0.000172,-0.002128,-0.002256,0.000811
0.350000,0.000510,0.001794,0.000284,-0.003158,-0.003262,0.001202
0.400000,0.000510,0.001794,0.000284,-0.003158,-0.003262,0.001202
0.450000,0.000072,0.001461,-0.000552,-0.004410,-0.004423,0.001666
0.500000,0.000020,0.003091,0.000076,-0.005883,-0.005779,0.002209
0.550000,-0.000163,0.003360,0.000058,-0.007609,-0.007325,0.002831
0.600000,-0.000445,0.003738,-0.000058,-0.008229,-0.007872,0.003051
0.650000,-0.000898,0.002415,-0.000994,-0.009631,-0.009083,0.003535
0.700000,0.000014,0.003649,-0.000050,-0.011929,-0.011064,0.004313
0.750000,-0.000001,0.003388,0.000009,-0.014520,-0.013280,0.005158
0.800000,0.000363,0.004023,-0.000680,-0.017432,-0.015706,0.006078
0.850000,0.000363,0.004023,-0.000680,-0.017432,-0.015706,0.006078
0.900000,-0.000983,0.004681,-0.000164,-0.020702,-0.018366,0.007069
0.950000,-0.000931,0.005412,-0.000309,-0.024283,-0.021227,0.008116
1.000000,-0.000935,0.005459,-0.000692,-0.028239,-0.024310,0.009219
1.050000,-0.000935,0.005459,-0.000692,-0.028239,-0.024310,0.009219
1.100000,-0.000271,0.005721,-0.001112,-0.032573,-0.027628,0.010400
1.150000,-0.000503,0.006415,-0.000164,-0.037349,-0.031216,0.011644
1.200000,-0.000065,0.006199,-0.001149,-0.042506,-0.035020,0.012944
1.250000,-0.000065,0.006199,-0.001149,-0.042506,-0.035020,0.012944
1.300000,-0.000710,0.006748,-0.000765,-0.048082,-0.039049,0.014300
1.350000,-0.000812,0.006950,-0.000446,-0.054137,-0.043336,0.015741
1.400000,-0.001015,0.006659,-0.001005,-0.060595,-0.047828,0.017267
1.450000,-0.001021,0.007650,0.000288,-0.064726,-0.050663,0.018230
1.500000,-0.000356,0.007552,-0.000816,-0.067505,-0.052549,0.018871
1.550000,-0.000622,0.008281,-0.001167,-0.074888,-0.057482,0.020548
1.600000,-0.000616,0.008710,-0.001629,-0.082828,-0.062683,0.022311
1.650000,-0.001434,0.008894,-0.001248,-0.091209,-0.068087,0.024141
1.700000,-0.001434,0.008894,-0.001248,-0.091209,-0.068087,0.024141
1.750000,-0.001684,0.009161,-0.001420,-0.100093,-0.073742,0.026056
1.800000,-0.001344,0.008786,-0.002412,-0.109498,-0.079643,0.028040
1.850000,-0.000856,0.009890,-0.001977,-0.119516,-0.085832,0.030100
1.900000,-0.000856,0.009890,-0.001977,-0.119516,-0.085832,0.030100
1.950000,-0.001499,0.009622,-0.001754,-0.130032,-0.092207,0.032218
2.000000,-0.001351,0.010106,-0.001884,-0.141126,-0.098831,0.034415
2.050000,-0.001317,0.010643,-0.001255,-0.152805,-0.105702,0.036680
2.100000,-0.001317,0.010643,-0.001255,-0.152805,-0.105702,0.036680
2.150000,-0.000951,0.011085,-0.001644,-0.165192,-0.112883,0.039047
2.200000,-0.000907,0.011587,-0.001451,-0.178115,-0.120262,0.041487
2.250000,-0.001645,0.011404,-0.002335,-0.191683,-0.127892,0.044001
2.300000,-0.001481,0.011875,-0.001566,-0.197522,-0.131149,0.045072
2.350000,-0.001384,0.012063,-0.001408,-0.205995,-0.135841,0.046618
2.400000,-0.002125,0.012653,-0.002012,-0.220860,-0.143987,0.049284
2.450000,-0.002242,0.012361,-0.001910,-0.236417,-0.152420,0.052033
2.500000,-0.002904,0.013290,-0.002260,-0.252679,-0.161138,0.054871
2.550000,-0.002904,0.013290,-0.002260,-0.252679,-0.161138,0.054871
2.600000,-0.000694,0.013330,-0.002560,-0.269777,-0.170226,0.057813
2.650000,-0.001885,0.013539,-0.002041,-0.287445,-0.179520,0.060805
2.700000,-0.001262,0.013828,-0.002780,-0.305837,-0.189083,0.063875
2.750000,-0.001262,0.013828,-0.002780,-0.305837,-0.189083,0.063875
2.800000,-0.001745,0.013758,-0.002166,-0.324967,-0.198912,0.067015
2.850000,-0.001675,0.014710,-0.002274,-0.345004,-0.209086,0.070252
2.900000,-0.001660,0.014956,-0.002484,-0.365673,-0.219463,0.073553
2.950000,-0.001660,0.014956,-0.002484,-0.365673,-0.219463,0.073553
3.000000,-0.002776,0.015370,-0.003058,-0.387114,-0.230126,0.076940
3.050000,-0.002010,0.015653,-0.003119,-0.409342,-0.241095,0.080408
3.100000,-0.002627,0.015563,-0.002303,-0.432561,-0.252465,0.083977
3.150000,-0.003102,0.016350,-0.003482,-0.456429,-0.264074,0.087598
3.200000,-0.003102,0.016350,-0.003482,-0.456429,-0.264074,0.087598
3.250000,-0.002880,0.016674,-0.001753,-0.481143,-0.275993,0.091288
3.300000,-0.002513,0.016802,-0.002551,-0.506913,-0.288313,0.095077
3.350000,-0.002166,0.017020,-0.003935,-0.533355,-0.300849,0.098926
3.400000,-0.002166,0.017020,-0.003935,-0.533355,-0.300849,0.098926
3.450000,-0.003093,0.017030,-0.003449,-0.560696,-0.313679,0.102874
3.500000,-0.002486,0.017541,-0.003774,-0.588930,-0.326821,0.106909
3.550000,-0.002792,0.018470,-0.003152,-0.618308,-0.340377,0.111068
3.600000,-0.002792,0.018470,-0.003152,-0.618308,-0.340377,0.111068
3.650000,-0.003211,0.019578,-0.002856,-0.648397,-0.354139,0.115286
3.700000,-0.002827,0.019452,-0.003386,-0.679442,-0.368241,0.119585
3.750000,-0.002458,0.019162,-0.003434,-0.711446,-0.382670,0.123973
3.800000,-0.003385,0.019300,-0.003639,-0.744670,-0.397509,0.128479
3.850000,-0.003385,0.019300,-0.003639,-0.744670,-0.397509,0.128479
3.900000,-0.003066,0.019881,-0.003376,-0.778637,-0.412553,0.133041
3.950000,-0.002974,0.019921,-0.003132,-0.813602,-0.427898,0.137693
4.000000,-0.002924,0.020100,-0.003729,-0.849568,-0.443568,0.142427
4.050000,-0.002924,0.020100,-0.003729,-0.849568,-0.443568,0.142427
